# Differential signal biases, nanoseconds, copied verbatim from the
# CAS/IGG multi-GNSS DCB product CAS0MGXRAP_20221000000_01D_01D_DCB.BSX
# (Bias-SINEX 1.00; Wang et al. 2016, DOI 10.1007/s00190-015-0867-4).
# value_ns is BD(obs1,obs2) = B(obs1) - B(obs2) for the row's observables.
# Identities are replaced by opaque labels.
# Space-vehicle entries for label SV-T.
obs1	obs2	value_ns	std_dev_ns
C1C	C1W	-1.3210	0.0060
C1C	C2W	-7.2350	0.0205
C1C	C5Q	-2.0360	0.0355
C1C	C5X	-1.8660	0.0500
C1W	C2W	-6.3110	0.0325
C2W	C2L	-1.0670	0.0090
C2W	C2S	-1.0850	0.0090
C2W	C2X	-1.1150	0.0145
