fips,region,urbanisation,pct_aian_alone,pct_api_alone,pct_black_alone,pct_white_alone,pct_multiple_response,census2000_population
53077,west,medium_small_metro,4.79,1.29,1.19,91.15,1.59,222581
54001,south,nonmetro,0.72,0.31,0.51,97.56,0.9,15557
54003,south,medium_small_metro,0.25,0.51,4.78,93.39,1.06,75905
54005,south,medium_small_metro,0.13,0.1,0.66,98.65,0.46,25535
54007,south,nonmetro,0.35,0.16,0.69,98.16,0.65,14702
54009,south,medium_small_metro,0.1,0.39,0.85,98.06,0.6,25447
54011,south,medium_small_metro,0.19,0.85,4.33,93.68,0.96,96784
54013,south,nonmetro,0.3,0.12,0.11,99.08,0.4,7582
54015,south,medium_small_metro,0.71,0.02,0.08,98.37,0.82,10330
54017,south,nonmetro,0.31,0.15,0.28,98.45,0.81,7403
54019,south,nonmetro,0.28,0.34,5.61,92.91,0.87,47579
54021,south,nonmetro,0.22,0.59,0.91,97.51,0.77,7160
54023,south,nonmetro,0.26,0.16,0.76,98.44,0.38,11299
54025,south,nonmetro,0.34,0.2,3.07,95.43,0.96,34453
54027,south,medium_small_metro,0.24,0.19,0.84,98.21,0.52,20203
54029,south,medium_small_metro,0.12,0.37,2.32,96.62,0.57,32667
54031,south,nonmetro,0.16,0.16,1.98,97.16,0.54,12669
54033,south,nonmetro,0.16,0.64,1.63,96.87,0.71,68652
54035,south,nonmetro,0.21,0.24,0.08,98.91,0.55,28000
54037,south,large_fringe,0.29,0.67,6.17,91.72,1.14,42190
54039,south,medium_small_metro,0.21,0.89,7.03,90.78,1.09,200073
54041,south,nonmetro,0.2,0.31,0.16,98.69,0.64,16919
54043,south,medium_small_metro,0.17,0.07,0.06,99.13,0.57,22108
54045,south,nonmetro,0.12,0.32,2.61,96.44,0.5,37710
54047,south,nonmetro,0.17,0.07,11.91,87.2,0.66,27329
54049,south,nonmetro,0.2,0.43,3.26,95.32,0.79,56598
54051,south,medium_small_metro,0.11,0.3,0.44,98.59,0.56,35519
54053,south,nonmetro,0.18,0.28,0.5,98.51,0.52,25957
54055,south,nonmetro,0.2,0.48,5.85,92.76,0.71,62980
54057,south,medium_small_metro,0.12,0.21,2.58,96.41,0.68,27078
54059,south,nonmetro,0.24,0.24,2.36,96.5,0.65,28253
54061,south,medium_small_metro,0.2,2.57,3.44,92.72,1.07,81866
